Date,JPM,SPY,TLT,GLD,JNJ,AAPL,XOM,KO
2016-02-16,44.192710876464844,159.99557495117188,97.2977523803711,114.7699966430664,76.71713256835938,21.866926193237305,52.183006286621094,31.247800827026367
2016-02-17,44.51081466674805,162.6090850830078,96.69951629638672,115.4800033569336,76.85208892822266,22.201807022094727,52.68415069580078,31.34149169921875
2016-02-18,43.783729553222656,161.94297790527344,97.8885269165039,118.29000091552734,78.15672302246094,21.780941009521484,52.9732666015625,31.42796516418457
2016-02-19,43.79130935668945,161.86720275878906,97.9708023071289,117.58000183105469,78.66271209716797,21.73116111755371,53.005409240722656,31.543277740478516
2016-02-22,44.35933303833008,164.2108612060547,97.91846466064453,115.48999786376953,79.10826110839844,21.921232223510742,52.934730529785156,31.665775299072266
2016-02-23,42.50376510620117,162.136962890625,98.31478881835938,117.22000122070312,78.60228729248047,21.425687789916992,52.18942642211914,31.48562240600586
2016-02-24,42.518917083740234,162.87887573242188,98.12041473388672,117.61000061035156,79.26688385009766,21.744735717773438,52.3757438659668,31.644174575805664
2016-02-25,43.17782974243164,164.8516082763672,98.4718246459961,117.91999816894531,80.3392562866211,21.89407730102539,52.69058609008789,31.82433319091797
2016-02-26,43.5792350769043,164.47222900390625,97.52214050292969,117.11000061035156,79.88613891601562,21.92801856994629,52.52351379394531,31.089269638061523
2016-02-29,42.64009094238281,163.18235778808594,97.94837188720703,118.63999938964844,79.45567321777344,21.878238677978516,51.49555969238281,31.08204460144043
